Category,Subcategory,Enrichment,P-value,P-adjusted,Q-value,Expected,Observed,miRNAs/precursors
Diseases (MNDR),Abortion habitual,over-represented,0.005219,0.0116914,0.0116914,0.366054,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Acquired immunodeficiency syndrome,over-represented,0.0044089,0.0113065,0.0113065,0.344935,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-92a-3p
Diseases (MNDR),Acth-secreting pituitary adenoma,over-represented,0.0041573,0.0113065,0.0113065,0.337896,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Acute coronary syndrome,over-represented,0.000299174,0.0019645,0.0019645,0.344935,4,hsa-miR-34c-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Acute lymphocytic leukemia,over-represented,0.00089061,0.0039283,0.0039283,0.457567,4,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Acute myelocytic leukemia,over-represented,0.000219767,0.0018947,0.0018947,0.598357,5,hsa-miR-24-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Acute myeloid leukemia,over-represented,0.000120509,0.0012938,0.0012938,1.26007,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Adenocarcinoma,over-represented,0.022107,0.0373261,0.0373261,0.619476,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p
Diseases (MNDR),Adenoma,over-represented,0.0029868,0.0104264,0.0104264,1.05592,5,hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-874-3p; hsa-miR-9-5p
Diseases (MNDR),Adrenal cortical adenoma,over-represented,0.0034562,0.0113065,0.0113065,0.316777,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Adrenocortical carcinoma,over-represented,0.0026466,0.0094276,0.0094276,1.52053,6,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Adult t cell leukemia,over-represented,0.0034562,0.0113065,0.0113065,0.316777,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p
Diseases (MNDR),Aging,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
